"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category","Safe_Min_P","Significance_Strength","Signature_Score"
"IRS2",5,3,-0.30843676553643,-0.96037690312856,1.16261957606903,1.36191870375631,0.000000000000000496311847262646,0.000000000210367909744039,"Highly recurrent (5+)",0.000000000000000496311847262646,15.3042453578082,266.895228749269
"SLA",4,2,-1.01011073744512,-0.941695291566392,1.01011073744512,1.47275972139124,0.000000000000000000000000000000091413931310099,0.0000000757923117948049,"Moderately recurrent (3-4)",0.000000000000000000000000000000091413931310099,31.0389876135654,250.822517343107
"JUND",5,3,0.741827321812001,0.620579894542697,0.741827321812001,1.05477384203963,0.000000000000000000000343229040790627,0.00000000120865644045113,"Highly recurrent (5+)",0.000000000000000000000343229040790627,21.4644159733829,238.843353236901
"TNFAIP3",5,3,-0.255976202279671,-0.537286150570735,0.96722689104751,1.48391036387635,0.000000000000000239822830914635,0.000000000108195579052963,"Highly recurrent (5+)",0.000000000000000239822830914635,15.6201094748307,226.622848877434
"JUN",4,2,-1.82632387085248,-2.76340151719284,2.5901550364679,3.28134606945013,0.0000000000301718286391352,0.00000123799011867084,"Moderately recurrent (3-4)",0.0000000000301718286391352,10.5203983675241,217.995702538329
"ZNF331",3,3,0.631480554019976,1.52017215253358,1.66408368754146,2.25613736655679,0.00000000000000574762220302282,0.0000501923862338896,"Moderately recurrent (3-4)",0.00000000000000574762220302282,14.2405117862119,213.276630291094
"METRNL",3,3,-0.049060027250907,-0.677602558647115,1.11687166994693,1.51655682813438,0.00000000000000000000513951366508252,0.00000000000023833427836532,"Moderately recurrent (3-4)",0.00000000000000000000513951366508252,20.2890779748887,203.942667595477
"IFI44",4,2,2.70001304787663,1.8991632286203,2.70001304787663,4.5348786010165,0.00000000123263834309352,0.00000290345956524518,"Moderately recurrent (3-4)",0.00000000123263834309352,8.90916432700374,192.438879428697
"PPP1R15A",4,2,-0.427499695353446,-1.28375920643991,1.93513899663233,2.94094778284452,0.00000000000669600023483929,0.0000196847497403518,"Moderately recurrent (3-4)",0.00000000000669600023483929,11.1741845397834,172.988802068008
"IFI6",3,2,1.91722049679802,1.54825994998338,1.91722049679802,3.37146730189039,0.00000000000000162404383566174,0.0000217983038862949,"Moderately recurrent (3-4)",0.00000000000000162404383566174,14.7894022526016,170.127270804471
"SAMSN1",3,3,-0.476786730703727,-0.884432483849124,1.01405214120933,1.21281277612787,0.0000000000000000303224229899026,0.00137437172093175,"Moderately recurrent (3-4)",0.0000000000000000303224229899026,16.5182360982544,150.753174159925
"CXCR4",4,1,-0.970526099185958,-1.01968641678412,0.970526099185958,1.22150316995722,0.000000000000000000000000000000000000142630338831021,0.000000000000000000000988159612338831,"Moderately recurrent (3-4)",0.000000000000000000000000000000000000142630338831021,36.8457880860867,143.039195930489
"EIF2AK2",4,2,1.44425855178957,1.22175081096654,1.44425855178957,2.73149974472057,0.000000000000858835905976612,0.00000452534987929312,"Moderately recurrent (3-4)",0.000000000000858835905976612,12.0660898069913,139.412427123265
"MYADM",3,2,-0.291499750332043,-0.783288302661414,1.87794245240031,2.55698171769847,0.00000000000103934370244202,0.000330030668325298,"Moderately recurrent (3-4)",0.00000000000103934370244202,11.9832408110661,135.023019818622
"SOCS1",4,2,-1.1875190110268,-1.19667867036749,1.1875190110268,1.8828213716395,0.000000000000029069308496773,0.000000650547684729286,"Moderately recurrent (3-4)",0.000000000000029069308496773,13.5365652991414,128.599429093889
"DDIT4",6,1,-1.06598241651624,-0.949308083141021,1.06598241651624,1.69391317800434,0.000000000000000000232869771331301,0.00000000169611082572868,"Highly recurrent (5+)",0.000000000000000000232869771331301,18.6328868832818,119.173978719087
"EPSTI1",4,2,0.877546073447819,1.23711457431297,1.63234527307877,3.38413865363917,0.00000000210010493950864,0.0000000849278697842976,"Moderately recurrent (3-4)",0.00000000210010493950864,8.67775900359424,113.32079112347
"NR4A2",4,2,0.523268590609515,1.66186228773693,2.02048573297686,2.8107819507816,0.000000221759079178092,0.0000134495262565326,"Moderately recurrent (3-4)",0.000000221759079178092,6.6541185904084,107.55641341965
"TIPARP",3,2,-0.306708145437736,-1.38727361540048,1.95345321969064,2.31708343890762,0.00000000119205998523787,0.000195421179281026,"Moderately recurrent (3-4)",0.00000000119205998523787,8.92370189006362,104.592205132225
"PLEK",3,3,-0.073045194155655,-0.0985583660272175,0.682661289232481,0.756462484274038,0.0000000000000273228668142176,0.0000609451927494927,"Moderately recurrent (3-4)",0.0000000000000273228668142176,13.5634737348486,83.333326196724
"GIMAP4",4,2,-0.64859518880794,-0.584079438228555,0.64859518880794,0.89278335992327,0.000000000000000100660647426361,0.00000000741774596151338,"Moderately recurrent (3-4)",0.000000000000000100660647426361,15.9971402806467,83.0053457657051
"IRAK3",3,2,-1.00846164893402,-0.82964415015485,1.00846164893402,1.64050692405853,0.0000000000000463107690137045,0.00255663405728996,"Moderately recurrent (3-4)",0.0000000000000463107690137045,13.3343180072671,80.6828899501152
"TAGAP",4,3,-0.100933113925332,-0.697905150092262,0.84748134321605,1.08246623530705,0.0000000746385948857712,0.000200021713884087,"Moderately recurrent (3-4)",0.0000000746385948857712,7.12703654502656,72.4803660519478
